city,latitude,longitude,name,zip,state
Franklin,35.90875,-86.88409,Domino's Pizza,37064,TN
Mexico,39.16989,-91.87478,SONIC Drive In,65265,MO
Park Hills,37.84401,-90.50351,SONIC Drive In,63601,MO
Phoenix,33.581838,-112.124385,Samurai Sam's,85029,AZ
Andalusia,31.30789,-86.4999,Arby's,36420,AL
Lincoln,40.814503,-96.700905,Amigos/Kings Classic,68508,NE
Clay Center,39.37906,-97.14248,SONIC Drive In,67432,KS
Tyler,32.28572,-95.30372,McDonald's,75703,TX
Victoria,28.82378,-97.000727,McDonald's,77901,TX
Keyser,39.44023,-78.97744,Subway,26726,WV
Katy,29.79332,-95.71956,McDonald's,77449,TX
Woodway,31.51211,-97.18724,Whataburger,76712,TX
Roma,26.40269,-99.01235,McDonald's,78584,TX
Buffalo,31.45096,-96.07826,McDonalds,75831,TX
Childress,34.43504,-100.22784,McDonald's,79201,TX
Kingsville,27.50749,-97.85649,Taco Bell,78363,TX
Killeen,31.07809,-97.75698,McDonald's,76542,TX
Gilmer,32.73227,-94.94278,Taco Bell,75644,TX
Katy,29.71927,-95.78177,McDonald's,77494,TX
Jasper,30.91192,-93.99569,McDonald's,75951,TX
Bowie,33.557809,-97.846268,McDonald's,76230,TX
New Boston,33.4717,-94.4091,Taco Bell,75570,TX
San Benito,26.12559,-97.63723,McDonald's,78586,TX
Hickory,35.69172,-81.35675,Domino's Pizza,28602,NC
Lonoke,34.79816,-91.89096,SONIC Drive In,72086,AR
Gretna,29.90228,-90.03,Domino's Pizza,70056,LA
Papillion,41.141563,-96.01308,Domino's Pizza,68133,NE
Omaha,41.2606,-96.09081,Domino's Pizza,68154,NE
Newport,39.09245,-84.4806,Domino's Pizza,41071,KY
Greensboro,36.20043,-79.84375,Domino's Pizza,27455,NC
Harlingen,26.17221,-97.67362,Taco Bell,78550,TX
Las Vegas,35.60569,-105.22363,McDonald's,87701,NM
Holdrege,40.42485,-99.3797,Sonic Drive-In,68949,NE
Minot,48.21665,-101.29666,Taco Bell,58701,ND
Wahpeton,46.26365,-96.61158,Taco John's,58075,ND
Madison,44.006216,-97.118242,Taco John's,57042,SD
Carlsbad,32.41713,-104.2292,McDonalds,88220,NM
Bastrop,32.77873,-91.8896,McDonald's,71220,LA
Truth Or Consequences,33.15244,-107.24684,Sonic Drive-In,87901,NM
Madison,44.007172,-97.115957,McDonald's,57042,SD
Owatonna,44.084414,-93.241752,Taco Bell,55060,MN
